Timestamp,Date,USDT,USDC,PYUSD,USDe,DAI,FDUSD
1721779200,2024-07-24,114433699332,33732919382,585824815,3398420252,5231403626,1644864773
1721692800,2024-07-23,114307338921,33626271408,598301478,3404190328,5243282092,1614678280
1721606400,2024-07-22,114180894195,33560640016,584541597,3399752242,5335918261,1614678280
1721520000,2024-07-21,114015056195,33682778051,585003835,3401303769,5382879132,1614678280
1721433600,2024-07-20,114201306550,33623361139,584823036,3408357557,5267780159,1617904411
1721347200,2024-07-19,113678352175,33275274105,577791664,3401547156,5221745754,1630065310
1721260800,2024-07-18,113605223018,33374823978,572715379,3395677911,5240164439,1585599205
1721174400,2024-07-17,113216677692,33570247780,577951100,3395160183,5268232509,1587981081
1721088000,2024-07-16,112977167082,33534861013,586909625,3397941031,5246534840,1560734560
1721001600,2024-07-15,112651587060,33562816942,568925249,3409840797,5261658715,1555920861
1720915200,2024-07-14,112469048012,33562784870,569872000,3409691688,5275335098,1555920861
1720828800,2024-07-13,112527287879,33268168821,571010605,3451232467,5223166878,1563692693
1720742400,2024-07-12,112371024626,33579251630,571992174,3445012783,5191997432,1526490885
1720656000,2024-07-11,112364578514,33709067966,534007095,3448727096,5172835705,1533454912
1720569600,2024-07-10,112268563180,33577970554,535074043,3456665730,5171111382,1531963470
1720483200,2024-07-09,112141060909,33460412370,533303443,3453597406,5157462490,1539247601
1720396800,2024-07-08,112192511744,33350470878,518108092,3470375545,5231671277,1537487498
1720310400,2024-07-07,112181849713,33350738900,514617461,3479394195,5232655544,1535881539
1720224000,2024-07-06,112245912309,33260152489,519143273,3517617426,5111703920,1541289139
1720137600,2024-07-05,112468091106,32561049603,511836451,3591502743,5058562218,1615350326
1720051200,2024-07-04,112321847819,32363274896,508699676,3602564446,5087726504,1610064503
1719964800,2024-07-03,112414097319,32178206680,499370413,3604552054,5098338444,1633146988
1719878400,2024-07-02,112528906376,32128971517,494636023,3602781003,5067497885,1700870657
1719792000,2024-07-01,112644085827,31820856468,497484619,3601156879,5006678278,1706577829
1719705600,2024-06-30,112633305704,31902227712,499487564,3603650330,5059898651,1801628605
1719619200,2024-06-29,112511901163,31895447709,498223861,3598491630,5041993048,1801045987
1719532800,2024-06-28,112456905562,32247226986,364474068,3597982337,5083281992,1828305458
1719446400,2024-06-27,112501741675,32534613914,347425286,3573377452,5054657644,1854404467
1719360000,2024-06-26,112675718651,32376832298,274014433,3578406851,5105194146,1845906109
1719273600,2024-06-25,112837386516,32157441213,274360130,3567193270,5097823454,1858113155
1719187200,2024-06-24,112712121558,32258868563,280742399,3561719198,5119867091,1911652737
